country;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
United Arab Emirates; 8.920,00 ; 8.860,00 ; 8.910,00 ; 9.120,00 ; 9.050,00 ; 9.340,00 ; 8.890,00 ; 9.100,00 ; 10.000,00 ; 103.000,00 ; 103.000,00 ; 105.000,00 ; 107.000,00 ; 119.000,00 ; 125.000,00 ; 127.000,00 ; 131.000,00 ; 135.000,00 ; 133.000,00 ; 129.000,00 ; 132.000,00 ; 118.000,00 ; 128.000,00 ; 113.000,00 ; 108.000,00 ; 11.000,00 ; 111.000,00 ; 116.000,00 ; 12.000,00 ; 126.000,00 ; 138.000,00 ; 138.000,00 ; 142.000,00 ; 141.000,00 ; 141.000,00 
Argentina; 1.500,00 ; 1.600,00 ; 1.670,00 ; 1.660,00 ; 1.580,00 ; 1.560,00 ; 1.630,00 ; 1.670,00 ; 1.820,00 ; 1.910,00 ; 1.930,00 ; 1.980,00 ; 2.030,00 ; 2.060,00 ; 2.210,00 ; 2.410,00 ; 2.420,00 ; 2.240,00 ; 2.420,00 ; 2.600,00 ; 2.720,00 ; 2.890,00 ; 2.860,00 ; 3.040,00 ; 3.020,00 ; 3.080,00 ; 3.130,00 ; 3.260,00 ; 3.300,00 ; 3.250,00 ; 3.380,00 ; 3.380,00 ; 3.310,00 ; 3.310,00 ; 3.120,00 
Australia; 7.900,00 ; 8.140,00 ; 8.390,00 ; 8.710,00 ; 9.060,00 ; 9.180,00 ; 9.190,00 ; 9.270,00 ; 9.400,00 ; 9.560,00 ; 9.740,00 ; 9.900,00 ; 103.000,00 ; 107.000,00 ; 11.000,00 ; 114.000,00 ; 117.000,00 ; 115.000,00 ; 115.000,00 ; 115.000,00 ; 114.000,00 ; 116.000,00 ; 116.000,00 ; 115.000,00 ; 115.000,00 ; 113.000,00 ; 114.000,00 ; 109.000,00 ; 107.000,00 ; 105.000,00 ; 107.000,00 ; 107.000,00 ; 105.000,00 ; 106.000,00 ; 105.000,00 
Austria; 5.850,00 ; 5.860,00 ; 6.610,00 ; 6.400,00 ; 6.530,00 ; 6.530,00 ; 6.620,00 ; 6.540,00 ; 6.670,00 ; 6.710,00 ; 7.080,00 ; 6.840,00 ; 7.080,00 ; 7.140,00 ; 7.500,00 ; 7.660,00 ; 7.690,00 ; 7.680,00 ; 7.410,00 ; 7.890,00 ; 8.090,00 ; 7.770,00 ; 7.800,00 ; 8.020,00 ; 8.250,00 ; 8.450,00 ; 7.790,00 ; 8.510,00 ; 7.950,00 ; 7.560,00 ; 7.480,00 ; 7.760,00 ; 8.020,00 ; 7.650,00 ; 8.200,00 
Azerbaijan; 3.110,00 ; 3.180,00 ; 3.320,00 ; 3.360,00 ; 3.270,00 ; 3.200,00 ; 3.190,00 ; 2.640,00 ; 2.510,00 ; 2.290,00 ; 2.190,00 ; 2.170,00 ; 2.120,00 ; 2.250,00 ; 2.260,00 ; 2.300,00 ; 2.310,00 ; 2.260,00 ; 2.550,00 ; 2.570,00 ; 2.680,00 ; 2.840,00 ; 2.500,00 ; 2.450,00 ; 2.110,00 ; 2.070,00 ; 2.220,00 ; 2.480,00 ; 2.490,00 ; 2.600,00 ; 2.570,00 ; 2.560,00 ; 2.470,00 ; 2.530,00 ; 2.620,00 
Belgium; 5.780,00 ; 5.910,00 ; 6.370,00 ; 6.560,00 ; 6.770,00 ; 7.090,00 ; 7.170,00 ; 7.170,00 ; 7.000,00 ; 7.110,00 ; 7.300,00 ; 7.450,00 ; 7.710,00 ; 8.130,00 ; 8.240,00 ; 8.170,00 ; 7.740,00 ; 7.920,00 ; 8.120,00 ; 8.170,00 ; 8.250,00 ; 8.060,00 ; 8.300,00 ; 7.880,00 ; 8.400,00 ; 8.700,00 ; 8.190,00 ; 7.480,00 ; 7.480,00 ; 6.470,00 ; 6.180,00 ; 7.550,00 ; 7.590,00 ; 6.530,00 ; 8.110,00 
Bangladesh; 499,00 ; 515,00 ; 584,00 ; 666,00 ; 707,00 ; 749,00 ; 783,00 ; 824,00 ; 834,00 ; 868,00 ; 938,00 ; 975,00 ; 987,00 ; 105,00 ; 115,00 ; 124,00 ; 134,00 ; 141,00 ; 146,00 ; 180,00 ; 190,00 ; 210,00 ; 217,00 ; 237,00 ; 255,00 ; 277,00 ; 296,00 ; 322,00 ; 356,00 ; 372,00 ; 396,00 ; 443,00 ; 460,00 ; 503,00 ; 550,00 
Bulgaria; 4.640,00 ; 4.660,00 ; 4.850,00 ; 5.040,00 ; 4.980,00 ; 4.770,00 ; 4.660,00 ; 4.100,00 ; 4.430,00 ; 4.500,00 ; 4.990,00 ; 5.150,00 ; 5.210,00 ; 5.130,00 ; 4.740,00 ; 5.120,00 ; 5.540,00 ; 5.430,00 ; 5.460,00 ; 5.370,00 ; 5.770,00 ; 6.010,00 ; 5.710,00 ; 5.990,00 ; 5.750,00 ; 6.280,00 ; 6.880,00 ; 6.450,00 ; 6.010,00 ; 6.550,00 ; 6.840,00 ; 6.330,00 ; 6.420,00 ; 6.640,00 ; 6.190,00 
Belarus; 3.350,00 ; 3.640,00 ; 3.740,00 ; 3.780,00 ; 3.800,00 ; 3.890,00 ; 3.810,00 ; 3.700,00 ; 3.290,00 ; 3.110,00 ; 2.470,00 ; 2.360,00 ; 2.600,00 ; 2.360,00 ; 2.670,00 ; 2.640,00 ; 2.550,00 ; 2.710,00 ; 2.750,00 ; 3.250,00 ; 3.240,00 ; 3.340,00 ; 3.360,00 ; 3.710,00 ; 3.220,00 ; 3.700,00 ; 3.420,00 ; 3.270,00 ; 3.340,00 ; 3.680,00 ; 3.630,00 ; 3.550,00 ; 3.650,00 ; 4.120,00 ; 4.280,00 
Brazil; 1.430,00 ; 1.460,00 ; 1.440,00 ; 1.500,00 ; 1.520,00 ; 1.500,00 ; 1.550,00 ; 1.570,00 ; 1.610,00 ; 1.630,00 ; 1.700,00 ; 1.770,00 ; 1.840,00 ; 1.900,00 ; 1.940,00 ; 2.000,00 ; 1.850,00 ; 1.930,00 ; 2.000,00 ; 2.110,00 ; 2.170,00 ; 2.230,00 ; 2.340,00 ; 2.410,00 ; 2.400,00 ; 2.640,00 ; 2.690,00 ; 2.770,00 ; 2.840,00 ; 2.910,00 ; 2.840,00 ; 2.810,00 ; 2.840,00 ; 2.870,00 ; 2.960,00 
Canada; 178.000,00 ; 18.000,00 ; 188.000,00 ; 189.000,00 ; 183.000,00 ; 174.000,00 ; 182.000,00 ; 184.000,00 ; 186.000,00 ; 192.000,00 ; 191.000,00 ; 194.000,00 ; 192.000,00 ; 187.000,00 ; 191.000,00 ; 197.000,00 ; 19.000,00 ; 192.000,00 ; 187.000,00 ; 188.000,00 ; 194.000,00 ; 188.000,00 ; 193.000,00 ; 191.000,00 ; 182.000,00 ; 178.000,00 ; 185.000,00 ; 182.000,00 ; 186.000,00 ; 182.000,00 ; 183.000,00 ; 182.000,00 ; 181.000,00 ; 176.000,00 ; 177.000,00 
Switzerland; 8.750,00 ; 8.870,00 ; 9.170,00 ; 9.240,00 ; 8.280,00 ; 8.420,00 ; 8.640,00 ; 8.760,00 ; 8.960,00 ; 9.530,00 ; 8.990,00 ; 8.150,00 ; 8.900,00 ; 8.920,00 ; 9.640,00 ; 9.420,00 ; 101.000,00 ; 9.270,00 ; 9.240,00 ; 8.930,00 ; 8.050,00 ; 8.560,00 ; 8.990,00 ; 9.020,00 ; 8.850,00 ; 8.710,00 ; 8.200,00 ; 8.740,00 ; 8.680,00 ; 8.770,00 ; 8.180,00 ; 7.560,00 ; 7.490,00 ; 8.140,00 ; 7.950,00 
Chile; 1.150,00 ; 1.190,00 ; 1.240,00 ; 1.320,00 ; 1.360,00 ; 1.390,00 ; 1.480,00 ; 1.630,00 ; 1.720,00 ; 1.780,00 ; 1.950,00 ; 2.110,00 ; 2.250,00 ; 2.370,00 ; 2.530,00 ; 2.690,00 ; 2.830,00 ; 2.900,00 ; 3.080,00 ; 3.110,00 ; 3.210,00 ; 3.350,00 ; 3.530,00 ; 3.570,00 ; 3.540,00 ; 3.590,00 ; 3.780,00 ; 4.010,00 ; 4.150,00 ; 4.030,00 ; 4.150,00 ; 4.270,00 ; 4.260,00 ; 4.390,00 ; 4.430,00 
